order_id,order_date,brand,category,product_name,units_sold,unit_price,gross_revenue,discount_pct,net_revenue,client_id,client_segment,channel,month,weekday,quarter,price_tier,holiday_season
1,2023-04-13,Dior,Makeup,Cream Blush,4.0,38.08,152.32,30.0,106.62,C2771,High Value,In-Store,2023-04,Thursday,2.0,Mid,0
2,,Rare Beauty,Skincare,SPF 50 Sunscreen,3.0,48.47,145.41,5.0,138.14,C4488,Medium Value,,NaT,,,Mid,0
3,2023-09-28,Dior,Haircare,Repair Shampoo,3.0,37.67,113.01,0.0,113.01,C2972,Medium Value,In-Store,2023-09,Thursday,3.0,Mid,0
4,2023-04-17,Glow Recipe,Skincare,Overnight Face Mask,4.0,65.4,261.6,20.0,209.28,C1902,,,2023-04,Monday,2.0,Premium,0
5,2023-03-13,Fenty Beauty,Makeup,Unknown Product,5.0,17.68,88.4,0.0,88.4,C4920,New,Online,2023-03,Monday,1.0,Budget,0
6,2023-07-08,,Makeup,Highlighter Palette,6.0,17.81,106.86,,106.86,C2346,Medium Value,Online,2023-07,Saturday,3.0,Budget,0
7,2023-01-21,Laneige,Skincare,SPF 50 Sunscreen,2.0,31.69,63.38,15.0,53.87,,,In-Store,2023-01,Saturday,1.0,Mid,0
8,2023-04-13,Laneige,Fragrance,Rollerball Perfume,6.0,93.27,559.62,20.0,447.7,C1276,High Value,In-Store,2023-04,Thursday,2.0,Premium,0
9,2023-05-02,Dior,Makeup,Matte Lipstick,0.0,24.48,0.0,10.0,0.0,C1056,Medium Value,,2023-05,Tuesday,2.0,Budget,0
10,,Rare Beauty,Makeup,Setting Powder,6.0,52.28,313.68,15.0,266.63,C3694,Medium Value,Online,NaT,,,Premium,0
11,2023-11-27,Charlotte Tilbury,Makeup,Volumizing Mascara,5.0,48.32,241.6,25.0,181.2,C1140,,Online,2023-11,Monday,4.0,Mid,1
12,2023-03-29,Sephora Collection,Fragrance,Unknown Product,1.0,114.0,114.0,,114.0,C1801,High Value,In-Store,2023-03,Wednesday,1.0,Luxury,0
13,,Dior,Makeup,Lip Gloss,3.0,43.775000000000006,131.32500000000002,0.0,131.32500000000002,C1909,High Value,Online,NaT,,,Mid,0
14,2023-12-26,Rare Beauty,Haircare,Scalp Scrub,3.0,14.25,42.75,10.0,38.48,C2146,Low Value,Online,2023-12,Tuesday,4.0,Budget,1
15,2023-06-01,Rare Beauty,Skincare,Unknown Product,6.0,33.02,198.12,25.0,148.59,C4259,Low Value,In-Store,2023-06,Thursday,2.0,Mid,0
16,2023-05-11,,Fragrance,Unknown Product,4.0,65.43,261.72,20.0,209.38,C2313,Medium Value,,2023-05,Thursday,2.0,Premium,0
17,2023-05-30,Laneige,Haircare,Hair Oil,6.0,24.91,149.46,30.0,104.62,C3780,,,2023-05,Tuesday,2.0,Budget,0
18,2023-11-05,Fenty Beauty,Makeup,Cream Blush,5.0,24.87,124.35,25.0,93.26,C2556,Medium Value,Online,2023-11,Sunday,4.0,Budget,1
19,2023-09-15,Fenty Beauty,Skincare,Niacinamide Toner,1.0,25.62,25.62,20.0,20.5,C1182,Low Value,In-Store,2023-09,Friday,3.0,Mid,0
20,,Laneige,Haircare,Repair Conditioner,2.0,16.94,33.88,10.0,30.49,C4085,Low Value,In-Store,NaT,,,Budget,0
21,2023-10-21,,Haircare,Hair Oil,6.0,25.89,155.34,,155.34,C3750,High Value,Online,2023-10,Saturday,4.0,Mid,0
22,2023-07-11,,Haircare,Unknown Product,6.0,25.13,150.78,20.0,120.62,C4361,Low Value,In-Store,2023-07,Tuesday,3.0,Mid,0
23,2023-10-04,Fenty Beauty,Fragrance,Eau de Parfum,1.0,43.775000000000006,43.775000000000006,10.0,43.775000000000006,C1990,New,In-Store,2023-10,Wednesday,4.0,Mid,0
24,2023-06-10,Rare Beauty,Fragrance,Rollerball Perfume,6.0,63.14,378.84,20.0,303.07,C3256,Low Value,Online,2023-06,Saturday,2.0,Premium,0
25,2023-11-10,Sephora Collection,Makeup,Liquid Foundation,5.0,48.34,241.7,0.0,241.7,C1667,Medium Value,Online,2023-11,Friday,4.0,Mid,1
26,2023-01-22,Dior,Skincare,Overnight Face Mask,2.0,53.03,106.06,15.0,90.15,C1427,High Value,In-Store,2023-01,Sunday,1.0,Premium,0
27,2023-09-10,Charlotte Tilbury,Haircare,Repair Conditioner,6.0,31.32,187.92,20.0,150.34,C3671,High Value,,2023-09,Sunday,3.0,Mid,0
28,2023-08-24,Rare Beauty,Makeup,Setting Powder,5.0,16.9,84.5,25.0,63.38,C1928,High Value,,2023-08,Thursday,3.0,Budget,0
29,2023-12-11,Glow Recipe,Haircare,Unknown Product,5.0,14.18,70.9,,70.9,C4988,Medium Value,Online,2023-12,Monday,4.0,Budget,1
30,2023-02-18,,Makeup,Highlighter Palette,1.0,49.25,49.25,15.0,41.86,C4523,New,In-Store,2023-02,Saturday,1.0,Mid,0
31,2023-02-28,Sephora Collection,Makeup,Cream Blush,4.0,50.18,200.72,5.0,190.68,C2316,Low Value,Online,2023-02,Tuesday,1.0,Premium,0
32,2023-06-19,,Skincare,Overnight Face Mask,1.0,43.775000000000006,43.775000000000006,20.0,43.775000000000006,C2378,Low Value,In-Store,2023-06,Monday,2.0,Mid,0
33,2023-07-07,Fenty Beauty,Fragrance,Unknown Product,1.0,43.775000000000006,43.775000000000006,,43.775000000000006,C2036,Low Value,Online,2023-07,Friday,3.0,Mid,0
34,2023-09-28,Glow Recipe,Haircare,Repair Conditioner,1.0,43.51,43.51,20.0,34.81,C1328,Medium Value,In-Store,2023-09,Thursday,3.0,Mid,0
35,2023-07-09,Fenty Beauty,Haircare,Hair Oil,5.0,46.65,233.25,15.0,198.26,C2772,Low Value,Online,2023-07,Sunday,3.0,Mid,0
36,2023-06-24,Glow Recipe,Makeup,Lip Gloss,3.0,20.66,61.98,5.0,58.88,C2051,High Value,Online,2023-06,Saturday,2.0,Budget,0
37,2023-02-20,Laneige,Fragrance,Rollerball Perfume,4.0,53.91,215.64,,215.64,C4604,High Value,,2023-02,Monday,1.0,Premium,0
38,2023-12-30,Fenty Beauty,Skincare,Niacinamide Toner,0.0,69.05,0.0,,0.0,C3101,Low Value,Online,2023-12,Saturday,4.0,Premium,1
39,2023-02-24,Charlotte Tilbury,Makeup,Volumizing Mascara,5.0,45.96,229.8,25.0,172.35,C4748,Low Value,In-Store,2023-02,Friday,1.0,Mid,0
40,2023-09-01,Laneige,Fragrance,Eau de Parfum,1.0,79.64,79.64,20.0,63.71,,Medium Value,,2023-09,Friday,3.0,Premium,0
